payment_type,day_of_year,count_of_transactions,transaction_amounts_sum
2,206,214976,2825262.2100000009
2,207,233240,2926224.7399999993
2,208,206510,2630692.2799999989
2,209,176225,2249671.7200000016
2,210,189838,2424608.5000000014
2,211,194289,2517644.2699999986
2,212,198151,2626335.5199999991
2,213,212795,2796352.989999997
2,214,227728,2846186.1199999978
2,215,202921,2601010.1100000008
2,216,188805,2444522.6
2,217,193226,2478285.6800000016
2,218,195642,2517844.4100000015
2,219,198624,2622800.9900000012
2,220,210805,2745160.9000000013
2,221,224490,2814845.1100000013
2,222,194488,2539308.8599999994
2,223,181924,2333738.4599999995
2,224,186779,2371730.3199999975
2,225,191719,2430238.5300000007
2,226,196370,2591360.8199999989
2,227,210454,2770622.0300000003
2,228,223293,2857119.08
2,229,198109,2570298.5000000014
2,230,182452,2353710.6600000015
2,231,186805,2377205.5000000005
2,232,191496,2475905.8800000018
2,233,199244,2604088.3900000006
2,234,201429,2679752.3299999991
2,235,214271,2736422.7899999991
2,236,191024,2543856.4199999976
2,237,175822,2311533.1199999987
2,238,181635,2319564.2299999986
2,239,191548,2456846.9000000013
2,240,192277,2529252.5100000021
2,241,207943,2739375.9299999992
2,242,218445,2759750.0399999996
2,243,201753,2614822.9200000009
2,244,165035,2146281.5800000005
2,245,189946,2400988.2800000026
2,246,196552,2536211.42
2,247,204948,2661317.49
2,248,222757,2874201.1500000027
2,249,242923,3014455.9899999998
2,250,211696,2693959.1700000037
2,251,194379,2487164.01
2,252,194175,2484307.3299999996
2,253,197474,2534506.5400000005
2,254,202781,2562460.2199999997
2,255,219688,2883296.3699999996
2,256,250713,3097279.930000002
2,257,215703,2765570.6599999992
2,258,192360,2448785.9499999993
2,259,195147,2466275.6300000031
2,260,193915,2502066.8700000006
2,261,199181,2644499.7899999986
2,262,220101,2920419.4300000006
2,263,244000,3125349.53
2,264,195671,2706499.9500000011
2,265,180759,2416937.9800000009
2,266,176351,2335871.65
2,267,184892,2391511.2900000014
2,268,190109,2472220.9699999997
2,269,211375,2772890.77
2,270,244557,3161203.1999999997
2,271,214100,2789777.859999998
2,272,181840,2345605.5100000007
2,273,188203,2362636.4600000028
2,274,195664,2469904.2000000011
2,275,201527,2584717.7999999993
2,276,225295,2868229.6999999993
2,277,234721,2795929.98
2,278,200822,2621845.67
2,279,189247,2403788.4399999995
2,280,192744,2417658.01
2,281,197351,2518382.9699999988
2,282,207101,2676250.350000002
2,283,225037,2975549.8599999985
2,284,255891,3189531.9899999979
2,285,220078,2931938.8699999996
2,286,182832,2289534.9999999995
2,287,191599,2470962.660000002
2,288,201716,2579492.3800000008
2,289,206757,2684197.0000000014
2,290,225358,2973437.99
2,291,254459,3175441.9099999964
2,292,223939,2847328.6499999994
2,293,189302,2417131.67
2,294,192047,2414554.6400000006
2,295,198400,2531833.7800000007
2,296,200220,2656832.5100000002
2,297,221393,2915396.9000000004
2,298,247418,3119511.6799999969
2,299,213435,2753011.55
2,300,188885,2394568.37
2,301,190192,2438484.0999999982
2,302,192786,2449414.1100000008
2,303,200917,2650498.8000000012
2,304,229817,2998367.8699999996
2,305,279465,3417103.8500000006
2,306,210135,2621302.0099999993
2,307,188764,2421096.399999999
2,308,184097,2284026.9500000007
2,309,189037,2418510.7800000012
2,310,195735,2536475.3200000003
2,311,222655,2945226.1499999966
2,312,250309,3104734.2300000009
2,313,211531,2681714.6600000015
2,314,182247,2307941.3200000003
2,315,170925,2161376.5500000007
2,316,184378,2330933.2999999989
2,317,196125,2534321.6500000018
2,318,215554,2763963.459999999
2,319,242484,3008178.6900000027
2,320,205512,2589956.3799999994
2,321,177210,2237113.2199999997
2,322,192212,2375514.4099999992
2,323,191909,2436340.4399999995
2,324,198726,2593761.2700000009
2,325,219414,2814723.5499999989
2,326,248409,3016642.4800000004
2,327,202452,2524314.0100000007
2,328,183686,2288249.1400000006
2,329,184693,2444693.89
2,330,213230,2614425.4600000009
2,331,179470,2211297.9900000012
2,332,209224,2461453.439999999
2,333,220463,2673984.1399999969
2,334,186736,2399447.2199999988
2,335,184369,2398651.5200000023
2,336,188813,2380455.5300000007
2,337,187361,2430711.2400000007
